-------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                       Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     Number of Calls  Input Shapes                                   
-------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
size                       0.00%            0.195us          0.00%            0.195us          0.195us          1                []                                             
stride                     0.00%            0.195us          0.00%            0.195us          0.195us          1                []                                             
as_strided                 0.00%            0.640us          0.00%            0.640us          0.640us          1                []                                             
size                       0.00%            0.228us          0.00%            0.228us          0.228us          1                []                                             
size                       0.00%            0.191us          0.00%            0.191us          0.191us          1                []                                             
unfold                     0.00%            4.115us          0.00%            6.647us          6.647us          1                []                                             
size                       0.00%            0.195us          0.00%            0.195us          0.195us          1                []                                             
stride                     0.00%            0.196us          0.00%            0.196us          0.196us          1                []                                             
size                       0.00%            0.191us          0.00%            0.191us          0.191us          1                []                                             
stride                     0.00%            0.186us          0.00%            0.186us          0.186us          1                []                                             
size                       0.00%            0.190us          0.00%            0.190us          0.190us          1                []                                             
stride                     0.00%            0.186us          0.00%            0.186us          0.186us          1                []                                             
size                       0.00%            0.182us          0.00%            0.182us          0.182us          1                []                                             
stride                     0.00%            0.217us          0.00%            0.217us          0.217us          1                []                                             
as_strided                 0.00%            0.989us          0.00%            0.989us          0.989us          1                []                                             
expand_as                  0.00%            1.599us          0.00%            3.457us          3.457us          1                []                                             
expand                     0.00%            1.134us          0.00%            1.858us          1.858us          1                []                                             
-------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Self CPU time total: 416.277ms

